,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,last_poll,Contested,Last_Party,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,MyNeta_education,TCPD_Prof_Main,predicted
25729,MONDITOKA JAGAN MOHANA RAO,MAL,YSRCP,87493,SC,170474,195053,nandigama,SC,COASTAL ANDHRA,10,87.4,51.32,no,10881,6.38,2.17,True,2.0,YSRCP,NANDIGAMA,True,True,1.0,False,False,True,54.0,krishna,Post Graduate,Liberal Profession or Professional,0
25739,UDAYABHANU SAMINENI,MAL,YSRCP,87965,GENER,176115,195729,jaggayyapeta,GEN,COASTAL ANDHRA,11,89.98,49.95,no,4778,2.71,2.13,True,4.0,YSRCP,JAGGAYYAPETA,True,True,2.0,False,False,True,64.0,krishna,Graduate,Business,1
25750,NAMBURU SANKARA RAO,MAL,YSRCP,99577,GENER,197885,222800,pedakurapadu,GEN,COASTAL ANDHRA,12,88.82,50.32,no,14104,7.13,2.27,True,1.0,,,,,1.0,False,False,False,52.0,guntur,12th Pass,Business,2
25762,Vundavalli Sridevi,FEM,YSRCP,86848,SC,178473,200269,tadikonda,SC,COASTAL ANDHRA,12,89.12,48.66,no,4433,2.48,2.22,True,1.0,,,,,1.0,False,False,False,51.0,guntur,Graduate Professional,Liberal Profession or Professional,2
25774,Alla Rama Krishna Reddy (RK),MAL,YSRCP,108464,GENER,228469,268558,mangalagiri,GEN,COASTAL ANDHRA,33,85.07,47.47,no,5337,2.34,2.33,True,2.0,YSRCP,MANGALAGIRI,True,True,2.0,False,True,True,51.0,guntur,12th Pass,Other or Unspecified,2
25807,Kilari Venkata Roshaiah,MAL,YSRCP,87570,GENER,190849,228234,ponnur,GEN,COASTAL ANDHRA,12,83.62,45.88,no,1112,0.58,2.38,True,1.0,,,,,1.0,False,False,False,52.0,guntur,Graduate,Business,2
25819,MERUGU NAGARJUNA,MAL,YSRCP,81671,SC,171618,195274,vemuru,SC,COASTAL ANDHRA,11,87.89,47.59,no,9999,5.83,2.44,True,3.0,YSRCP,VEMURU,True,True,1.0,False,False,True,54.0,guntur,Doctorate,Retired or Pension,2
25830,ANAGANI SATYA PRASAD,MAL,TDP,89975,GENER,186123,223738,repalle,GEN,COASTAL ANDHRA,16,83.19,48.34,no,11555,6.21,2.44,True,3.0,TDP,REPALLE,True,True,2.0,False,True,True,47.0,guntur,Graduate,Business,2
25846,ANNABATHUNI SIVA KUMAR,MAL,YSRCP,94495,GENER,205768,263286,tenali,GEN,COASTAL ANDHRA,14,78.15,45.92,no,17649,8.58,2.7,True,2.0,YSRCP,TENALI,True,True,1.0,False,False,True,51.0,guntur,Graduate,Business,2
25860,KONA RAGHUPATHI,MAL,YSRCP,79836,GENER,153769,185076,bapatla,GEN,COASTAL ANDHRA,20,83.08,51.92,no,15199,9.88,2.22,True,3.0,YSRCP,BAPATLA,True,True,2.0,False,True,True,59.0,guntur,Graduate,Business,0
25880,Mekathoti Sucharitha,FEM,YSRCP,92508,SC,210342,250605,prathipadu,SC,COASTAL ANDHRA,14,83.93,43.98,no,7398,3.52,2.7,True,3.0,YSRCP,PRATHIPADU,True,True,2.0,False,False,True,47.0,guntur,Graduate,Other or Unspecified,2
25894,MADDALI GIRIDHARA RAO,MAL,TDP,71864,GENER,174645,265258,guntur west,GEN,COASTAL ANDHRA,35,65.84,41.15,no,4289,2.46,2.86,True,2.0,TDP,GUNTUR EAST,False,True,1.0,False,False,True,45.0,guntur,Graduate,Business,2
25929,MOHAMMED MUSTAFA SHAIK,MAL,YSRCP,77047,GENER,161522,229909,guntur east,GEN,COASTAL ANDHRA,28,70.25,47.7,no,22091,13.68,2.7,True,2.0,YSRCP,GUNTUR EAST,True,True,2.0,False,True,True,57.0,guntur,5th Pass,Business,2
25957,RAJINI VIDADALA,FEM,YSRCP,94430,GENER,188115,223976,chilakaluripet,GEN,COASTAL ANDHRA,20,83.99,50.2,no,8301,4.41,2.17,True,1.0,,,,,1.0,False,False,False,29.0,guntur,Graduate,Other or Unspecified,2
25977,GOPIREDDY SRINIVASAREDDY,MAL,YSRCP,100994,GENER,183129,221728,narasaraopet,GEN,COASTAL ANDHRA,16,82.59,55.15,no,32277,17.63,2.27,True,2.0,YSRCP,NARASARAOPET,True,True,2.0,False,True,True,50.0,guntur,Post Graduate,Liberal Profession or Professional,0
